JT51 v1.0

+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Module                  | Partition | Slices        | Slice Reg     | LUTs          | LUTRAM        | BRAM      | MULT18X18 | BUFG  | DCM   | Full Hierarchical Name                |
| ++amnoise[6].u_noise_am |           | 7/7           | 12/12         | 4/4           | 1/1           | 0/0       | 0/0       | 0/0   | 0/0   | jt51/u_lfo/amnoise[6].u_noise_am  |
| ++pmnoise[0].u_noise_pm |           | 7/7           | 12/12         | 4/4           | 1/1           | 0/0       | 0/0       | 0/0   | 0/0   | jt51/u_lfo/pmnoise[0].u_noise_pm  |
| ++pmnoise[1].u_noise_pm |           | 7/7           | 12/12         | 4/4           | 1/1           | 0/0       | 0/0       | 0/0   | 0/0   | jt51/u_lfo/pmnoise[1].u_noise_pm  |
| ++pmnoise[2].u_noise_pm |           | 7/7           | 12/12         | 4/4           | 1/1           | 0/0       | 0/0       | 0/0   | 0/0   | jt51/u_lfo/pmnoise[2].u_noise_pm  |
| ++pmnoise[3].u_noise_pm |           | 6/6           | 11/11         | 6/6           | 2/2           | 0/0       | 0/0       | 0/0   | 0/0   | jt51/u_lfo/pmnoise[3].u_noise_pm  |
| ++pmnoise[4].u_noise_pm |           | 7/7           | 13/13         | 4/4           | 1/1           | 0/0       | 0/0       | 0/0   | 0/0   | jt51/u_lfo/pmnoise[4].u_noise_pm  |
| ++pmnoise[5].u_noise_pm |           | 5/5           | 10/10         | 6/6           | 2/2           | 0/0       | 0/0       | 0/0   | 0/0   | jt51/u_lfo/pmnoise[5].u_noise_pm  |
| ++pmnoise[6].u_noise_pm |           | 8/8           | 14/14         | 4/4           | 1/1           | 0/0       | 0/0       | 0/0   | 0/0   | jt51/u_lfo/pmnoise[6].u_noise_pm  |
| ++pmnoise[7].u_noise_pm |           | 10/10         | 15/15         | 5/5           | 1/1           | 0/0       | 0/0       | 0/0   | 0/0   | jt51/u_lfo/pmnoise[7].u_noise_pm  |
| +u_mmr                  |           | 79/280        | 88/169        | 45/376        | 0/222         | 0/0       | 0/0       | 0/0   | 0/0   | jt51/u_mmr                        |
| ++u_reg                 |           | 189/201       | 78/81         | 314/331       | 220/222       | 0/0       | 0/0       | 0/0   | 0/0   | jt51/u_mmr/u_reg                  |
| +++u_kon                |           | 4/6           | 1/3           | 6/8           | 0/2           | 0/0       | 0/0       | 0/0   | 0/0   | jt51/u_mmr/u_reg/u_kon            |
| ++++u_konch             |           | 2/2           | 2/2           | 2/2           | 2/2           | 0/0       | 0/0       | 0/0   | 0/0   | jt51/u_mmr/u_reg/u_kon/u_konch    |
| +++u_mod                |           | 6/6           | 0/0           | 9/9           | 0/0           | 0/0       | 0/0       | 0/0   | 0/0   | jt51/u_mmr/u_reg/u_mod            |
| +u_noise                |           | 10/17         | 16/28         | 18/21         | 0/1           | 0/0       | 0/0       | 0/0   | 0/0   | jt51/u_noise                      |
| ++u_lfsr                |           | 7/7           | 12/12         | 3/3           | 1/1           | 0/0       | 0/0       | 0/0   | 0/0   | jt51/u_noise/u_lfsr               |
| +u_op                   |           | 186/263       | 39/158        | 300/367       | 0/67          | 0/4       | 0/0       | 0/0   | 0/0   | jt51/u_op                         |
| ++out_padding           |           | 14/14         | 14/14         | 14/14         | 14/14         | 0/0       | 0/0       | 0/0   | 0/0   | jt51/u_op/out_padding             |
| ++phasemod_sh           |           | 20/20         | 20/20         | 10/10         | 10/10         | 0/0       | 0/0       | 0/0   | 0/0   | jt51/u_op/phasemod_sh             |
| ++prev1_buffer          |           | 14/14         | 28/28         | 14/14         | 14/14         | 0/0       | 0/0       | 0/0   | 0/0   | jt51/u_op/prev1_buffer            |
| ++prev2_buffer          |           | 14/14         | 28/28         | 14/14         | 14/14         | 0/0       | 0/0       | 0/0   | 0/0   | jt51/u_op/prev2_buffer            |
| ++prevprev1_buffer      |           | 14/14         | 28/28         | 14/14         | 14/14         | 0/0       | 0/0       | 0/0   | 0/0   | jt51/u_op/prevprev1_buffer        |
| ++shsignbit             |           | 1/1           | 1/1           | 1/1           | 1/1           | 0/0       | 0/0       | 0/0   | 0/0   | jt51/u_op/shsignbit               |
| ++u_exprom              |           | 0/0           | 0/0           | 0/0           | 0/0           | 2/2       | 0/0       | 0/0   | 0/0   | jt51/u_op/u_exprom                |
| ++u_phrom               |           | 0/0           | 0/0           | 0/0           | 0/0           | 2/2       | 0/0       | 0/0   | 0/0   | jt51/u_op/u_phrom                 |
| +u_pg                   |           | 171/300       | 144/165       | 272/514       | 14/55         | 0/1       | 2/2       | 0/0   | 0/0   | jt51/u_pg                         |
| ++u_pgrstsh             |           | 1/1           | 1/1           | 1/1           | 1/1           | 0/0       | 0/0       | 0/0   | 0/0   | jt51/u_pg/u_pgrstsh               |
| ++u_phinctable          |           | 0/0           | 0/0           | 0/0           | 0/0           | 1/1       | 0/0       | 0/0   | 0/0   | jt51/u_pg/u_phinctable            |
| ++u_phsh                |           | 20/20         | 20/20         | 40/40         | 40/40         | 0/0       | 0/0       | 0/0   | 0/0   | jt51/u_pg/u_phsh                  |
| ++u_pm                  |           | 108/108       | 0/0           | 201/201       | 0/0           | 0/0       | 0/0       | 0/0   | 0/0   | jt51/u_pg/u_pm                    |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
